raw_data,filtered_data
61509120,-32935607.653048158
16630272,589755.7114899219
19729664,31146572.399196606
-82792192,-14381374.455205487
116205056,24301046.156576723
224291584,16175691.040727617
112136448,33791778.23022233
47588352,-27243742.01348768
358455296,5250664.003807255
-182459904,-21237650.334277295
155383808,7553057.693497075
-12306944,-6000989.995694002
10900992,17803326.796848595
26317568,5553123.468107268
-2146560,13299040.146102397
-83310080,-23244299.589897513
-21430784,9760515.14144396
121033472,1347500.0811172996
-56752384,-19089037.177193552
-57988864,-23945296.925537694
52078592,-3362765.8388692653
-21808640,4473277.830870985
176509696,2931248.318556963
-115537664,1457562.134812145
-26181632,-38871721.86128709
-187776000,-18270431.345068883
-73034496,-459083.78869731794
-23371264,12190597.016663311
-153190912,3196709.554245492
-64677120,8605078.03692592
-124662016,52602626.67516835
170802944,18599137.392027866
-286876160,-851044.7379428989
77092096,-8957556.337715084
222114048,-25701193.030364413
19346944,-11789289.840878403
229388800,-8311693.534196908
-99131904,-11259364.804473737
-270056960,-17151115.45491472
-95163648,-4341962.9459192
-64807168,-7993195.059266104
-53108224,18666191.93373857
40964608,3524725.258240183
-67568128,4368062.132032934
-133696512,20748928.198036548
-286815232,17705391.684095785
337894656,3621157.295616893
-251597056,-3645973.9569557635
132679680,7009654.107347243
84146944,24999846.24747536
27011584,3352016.6037054453
-47349504,-13281319.989621282
74645760,12190196.777174111
-215835392,23028932.536987342
-200261888,-29894666.639163677
47939328,37191188.71912682
-129209088,19496256.584296677
-15289088,20910694.86223339
-16497664,13174292.12951969
147968,-2201670.7181317876
-38748928,-4844619.843750865
-14314752,12488437.796067717
-92714752,-16609786.566733185
-101963520,-20225580.269383386
-26548736,-16386744.283674113
25020928,-30282372.1065185
172420864,25091067.18831917
303828736,3059046.7044768804
28160512,20960625.60861077
-79088640,35049889.298274614
-254611200,-33687248.269529946
147991040,31885274.81708387
264691968,-21886529.251117676
-2186752,270873.28213239077
11324928,-17685378.338793144
60905216,15772041.6922295
-119285504,31779573.196814526
-20440064,-26326992.512011565
173981952,-4489230.420354189
-76431104,5856120.983698351
267046400,-10740797.674520658
-8510976,8230555.140352166
35003648,-1540114.8162636878
-9489664,3193957.963348348
-237628160,-27489997.101247814
-158570496,16631659.54383828
-152023296,-10295937.85623723
-70871552,19362474.66397677
148038912,32066917.641006097
-110420992,36280158.37113639
-39012096,8817894.940024925
-5467136,4190061.529797858
-74590720,7393520.798464278
26995968,10449052.723048652
229230848,22324229.66549229
-35804928,-7737115.799957018
-66881536,-5256472.568910382
-6991872,13063461.168754458
-62670080,-13607576.551182494
-160113152,-24422676.556215487
-113029376,8866088.463203372
47004160,27313564.423451327
89453056,35189314.25688859
