raw_data,filtered_data
113238016,1746370.3964517904
-12318720,11034026.790016303
-85298944,15859297.086294668
11986176,15299718.708192522
202053632,-11629407.706381526
70793216,11447811.19054581
-12802048,-4301607.694072524
-184187648,14624307.606167985
-17691648,24712730.439294484
77175808,5986053.795215975
48079616,-460855.4875850769
-195028224,-8901649.759641025
-193105664,-35788527.82444939
128996096,-19578843.387860905
-265311232,-31199793.443610083
101396736,1983530.7043093815
-38776832,27192994.837891977
-71416320,3906093.3045292203
-54321664,37131235.39884063
-168195584,7790393.556647176
-61384704,-11388430.901101828
-4904192,28356931.14718912
15720192,-10980436.3943432
156050688,-12415055.16153586
122979840,-4118653.529536991
108882432,15360685.479309915
204669952,-20368221.268712487
-46892800,8173466.011181312
116201984,36454117.28926476
159905792,6193810.989903257
30098432,2763831.091795739
-155372800,-844646.8979772611
-40304128,13102343.658306064
-14310144,41053661.1398302
56418816,4494081.008571373
-131635200,-14576463.818889795
219447040,-22033943.4445567
-134309888,-2642705.7964294488
-126223360,-17520228.72254722
-46430976,13548402.135491382
-182929920,-2582023.6321301656
102043648,23005559.83573853
111034368,-16827537.469785646
237584896,25702148.851604976
89452800,24085172.065851487
-333539584,27009179.665520303
154801408,12795068.27101965
226642432,26572.341636657573
-172926208,-1632168.4926847292
4149248,-24250630.20340882
-96476928,-13432044.531186687
852736,17231293.603798434
-98187264,5072424.501254253
-188390656,-6790487.264651003
144220160,-27537016.081926987
201583104,-44952566.38988359
-108459264,-16041264.12210264
-72200960,23905081.17089419
138811392,-17064834.80263787
-92656384,-4900101.53577115
-104835840,7661944.239983176
55819264,-11354920.536524886
-228197888,12434347.537540857
116248320,15494428.217521232
46972416,39318809.64138859
15810560,-717647.1971943151
57977088,5210094.482333779
46121216,-17374343.938113067
-117152256,-11011923.314585144
110134016,-6390086.679278901
29057024,50509993.770959266
78403072,19923839.612907074
-123925504,388327.5106489755
-112624128,-30645698.868554402
-216031232,24408698.519364398
186950912,741279.2518587108
-259085824,-2365500.1658626497
178337792,-28338908.394382674
-31631360,-18966367.278094396
37632768,2651800.0256552
119549440,35373130.7274012
51126528,30145830.542517375
58516224,-1173980.4564376848
62925824,-3888914.5448882068
8075776,-3467423.9860057435
-177847808,-9635511.662302416
11460352,16123570.458252536
-245118720,6151088.794425554
-219096064,-2650167.8012057943
-82091008,-33814307.08411649
150318080,-5113276.619784823
-75311360,12919131.21419052
-9691904,14807650.62573186
48243712,10369948.961304639
130277376,13273748.627552293
19765760,10411554.788398625
-247743232,-16369923.908492845
-37666560,30915676.239965238
83755264,4154801.6360691786
98909440,-18806275.735852834
89021952,10407110.402048657
-160994560,-5846206.43381542
54314240,926150.3448307773
-196825856,-8949153.996366771
135771136,4977668.093134434
188842240,43613104.478245534
188086784,32867815.843783215
91542528,7911460.531799312
-58715648,2816726.718341224
-85267968,1770763.5015665137
31220992,-11846607.412729327
-131495424,10057751.163756767
-65472256,8298837.684545029
105298944,5092994.150030209
-50749696,11799108.904356908
-69008640,5456134.500182244
30794496,10874488.754182693
-258491136,972767.4843564463
-142790400,-25253824.02089386
309597184,21526113.502545614
122935808,-37840665.321704015
-83877888,-13871056.81934634
-83503104,-250787.68890736936
-96016640,-5989938.456224964
113922304,14286189.849552467
114422272,22626935.109166913
-170033408,2282517.102594886
-13718528,7108728.410730551
-12273152,-8844760.880205061
-136419584,1094951.4404340433
-139680000,18777071.538411744
100233984,17080263.22982406
182933504,1094061.67727573
-134759680,11182043.441935325
-96058112,8466686.430174418
-77005568,-36550189.29974846
-24432128,-9696047.787392912
-136603904,-33200214.48488132
10748160,-24539257.89091766
-156767232,8847221.558662463
-21101568,-4632849.135680519
-2528512,-12441461.194348145
-212210944,-30887234.09642561
58451456,-17679524.178873047
-129409280,-50381351.674912386
-150639360,-26780338.209395077
72922624,-8554966.296724392
-108661504,681454.8546521175
-161731328,-17096616.997421272
104612608,-13458893.427834285
-145655296,2070489.377387327
-10825984,-9171260.044637728
-130432000,22905610.125392552
144253440,-10164060.726398911
59350272,-5448304.195072429
38171136,-1675136.449061585
44449024,7375782.207957425
47076608,7901457.203720623
175627264,-10116439.178162767
-19054336,4794407.270024464
169946880,-4961772.536922218
198869248,-9307409.683259726
-229050112,5699641.9280217625
-82943744,-14319108.617595019
-56961792,-19685721.95481988
-87944192,24201387.758545995
-132699904,-6732066.719314702
-150359552,5020350.196585234
-234608896,11991131.91620159
73434368,-11763813.080428148
126560512,-22817245.97738845
-29224960,-14826487.183629325
-27041024,1952735.3561491698
106023680,13968080.732050229
-93990912,7067365.718267578
-61209856,-10105354.147251971
-209275648,-2476916.311827371
107757056,14609089.037105538
-2439424,-9872546.727436746
-5821696,28103398.991275944
9921280,-6672386.858283827
-88707328,-19930631.59601657
-280632064,-5164298.548701126
150223360,-14341148.307556659
63828480,16213127.31036982
15103488,16431600.87289829
108742912,-2571875.657895412
-204058112,-16220600.206531404
-42099968,-19821301.51343676
169485056,1358517.2062791039
-200085504,24776506.992916208
9209600,-35364078.62093532
-99641600,-3803153.928211859
-49755136,-3577493.18865013
-31763200,-29985872.381843287
-190469120,-2721673.942334015
-23897856,4036459.7230881467
-66509824,12279884.049604213
-236109568,2118708.352698359
-16203520,-3166977.3840196296
-222473472,-8591323.743808027
336615168,6399892.975281525
-38570496,34336479.31244309
45776128,1125843.1649731204
-152802816,-8681092.316281354
26820352,7611915.469988516
69451520,-11304652.540963935
-90326528,-27662986.930388536
-1405440,36050653.052100934
138398720,34549167.36234925
233430016,-38749786.594545476
-39264000,-2152336.4452821193
191295744,-8160325.161002197
-127006208,-11713594.557330513
-184871936,-5498597.198238037
158557952,8791555.821479071
129807360,17770322.645879053
-118191360,-32412631.1649693
-50041344,-1246308.1961017856
189408256,-14027447.032268705
101256192,-11256244.825884985
-118289152,-2133450.435022761
230662912,34995467.45742371
-33231616,-6696120.480624622
57723648,14503833.029547488
62428672,18015301.609990954
34159872,42953742.32210958
-29297152,-17732450.130803164
-68722944,-17993134.487025082
189061120,19182514.187981334
119944448,-6155979.74924697
188844800,5545977.266676852
-3206400,-8860845.233083539
157649664,-7984032.2759483075
-54513920,-4523667.56522635
-146306304,-6327140.960306429
-102696704,-13406347.330031775
175364352,31919644.19132051
-86633728,8851468.347716685
-8664832,-26980312.154573515
-151013632,-3894980.794725579
-66454016,13384782.536001926
-38293760,12972588.195716057
41820672,21180351.213956576
22823936,9566331.658490606
34167808,-7428866.479197138
-42943488,-1764951.9996452108
135262464,187733.32581165645
11324160,-29951757.08750738
-70926592,9311100.81557574
-24002304,5001838.352183337
-116962048,13189794.552593408
-1199360,11532136.375682201
164331264,23450229.55093653
19085056,14337960.745900244
112308992,34212433.04277889
-18810112,-35654005.42095613
-62023424,14191899.552331742
-138210816,21172275.556508645
21715456,-19067719.623378523
-123546880,-19519276.280563436
-180053760,-5374631.048216654
-75348480,-14759876.662437862
-98478592,20168192.795847166
85443328,4851358.409237509
188189440,-9710930.71903411
-3577600,-17539146.40423174
-144223744,-1512130.537748466
-49683712,4363010.2219676245
-186600704,-18705269.17523656
-8463104,42904789.104031324
-52147200,36058202.99141686
-56374272,-15196398.546973702
85730304,36704837.99234361
202870016,11939716.281709548
-133676544,-14345584.767669452
22698496,-267390.3401241309
-106990080,-9877987.148615925
32114688,3916513.092714634
-49032704,6595534.451143138
-60412672,-6182912.4605595935
268197632,9824095.358400352
188298752,21521315.653934296
159767552,29453227.16199614
16562944,6244316.354827355
-44387072,14745306.337574298
-27326720,-1476823.2087693657
-200476928,-14767909.948376693
-46811648,17535519.950245153
58330880,-7948170.2745759105
-103990016,-7313724.790238043
-14057216,13216874.198151052
-142101760,3357524.4682095014
51543552,18396508.532399815
33162496,7550080.986436717
73724672,-10797224.784770323
9884672,21468160.13176721
-32109056,-8181405.245825313
-157351424,18759394.81797786
511488,935071.0380878128
10211072,5015909.206118087
-2078464,13933101.910216494
-138491136,-5614736.75241152
-211044096,-13640902.330484275
-117752320,6628946.875541332
-138251520,-17828781.643737327
-101205248,-3939093.6385678756
-191848704,4709282.528900226
206856448,13329130.685696417
-46627840,-34338743.823107906
-276557824,3568412.857652793
408428800,8174476.708765844
-189461760,29517230.37900426
-2926848,16609966.4596853
-30355712,-24176552.088281117
32654848,-8663962.934763268
-292417280,-15716363.06813146
36519168,19025056.80346038
145919488,17792921.503277913
-73929728,3943384.7486089994
-123697152,-26671843.06768415
-198302464,-17978747.112191796
3942656,-12196421.077600088
15040768,-7930384.130474721
-31123456,-36214310.912977554
20833280,-17321069.0793151
96847360,-9191299.579641921
11877888,6647897.641660798
185096192,-15152746.969602568
-63700992,13281118.859293818
-83226368,-11797115.974076366
-158437376,4170786.7204515375
75969024,-9339544.08009532
50840064,9812044.458176961
42405376,-5685362.373057679
-111926528,8709567.056742853
68112384,20077073.032251213
-13005312,17143530.59654183
-193122560,29719484.67842784
156006400,-9168007.496812267
244516352,15071238.288484445
108666112,24796086.07375457
77473280,879306.0304140688
-177277952,-11721206.637362149
-142275328,-28869249.763894234
-97152256,-36991219.19707919
-5853696,-5775541.9108984275
189049600,-2337966.6540497188
149515008,19859386.377958015
310954496,24691482.861082766
89655808,42547661.953032434
-56060160,-8488791.678228125
51818240,-10361436.68853595
175811072,24911025.204026483
-36043264,19241484.90547231
162166528,17619915.10681761
-52317184,-8261708.40221414
-61829888,-2999132.2635596567
-97044224,20844570.049371287
70962176,2502067.736901954
206691328,-12477056.914292585
-85758976,-18349403.696805406
-14539008,31985147.881912462
25500672,-7564006.027547284
144169216,-25230358.955590524
-173207040,-5688234.348478663
223661056,-14407258.757823925
60547072,1163995.8636808053
-143209984,-11356495.832012968
14734592,14059018.191167915
-5030912,-41590598.8024965
56937728,4015183.0423639873
-19645696,-15720585.525737472
-137988352,22087278.832006734
64387072,9325287.976028536
3445504,1622040.1930180653
87706880,-2654466.4566819337
-35534592,25160082.09606368
-222347264,-2445808.4612223576
-96603648,-28609030.98264751
-136007168,-15690216.911152426
-103281408,-17053626.54142727
-377856,-2259776.902463707
-141404672,4486397.012894227
-34364416,4499993.086332544
-15113216,-9146007.833880732
141712896,289336.21577138663
-115760128,-30925749.84806956
-132591360,-13067648.030597487
81451776,-6157467.159142127
-154400000,3922806.6575209103
-247367680,-9798766.551465558
-7532032,-3280329.166176822
-86956800,12935584.583245095
-117006080,12352475.123801157
-57086208,1714249.2475733475
-103049984,-12548233.26317294
80482816,-24499056.922885254
-98999296,17685268.858949184
-82343168,-7970729.668183515
-176622080,-4058373.7676881184
-18154752,12235404.661946384
-72578560,-34369513.16103471
126308608,-21920929.402584463
-78786048,704995.8149824633
60865792,-13106919.459371155
294849792,1850244.1913555164
-163195136,-26111568.225793276
105746944,-31767073.27972217
-233273344,-3806462.0565657443
228566528,-13076686.184664117
-162899968,-5245409.129475188
174555392,13425613.906824596
-28979712,12671475.728853837
96381952,-8528777.494572582
30082560,10656920.069625076
85905920,-1409609.313812956
-193930752,-21559685.423440993
-242596096,-11176713.786109336
-49948672,8703928.435536366
-19105024,-12831633.472131949
47486464,4654260.407359127
24792832,19766636.979271494
-201657600,14311481.60588099
198670848,1748223.1553221762
-166410240,9850836.626237182
-23503104,-19417273.035475463
37011712,-6747702.159314219
102096128,-6056685.754654554
283149824,28286429.14161845
-143292160,-45247237.72651817
5940992,-14914375.27440067
-123224576,13485535.480979715
29476864,58314804.635507725
-3075840,21835643.61853173
144290560,-11066212.280821923
-85980416,3452421.7958121146
-136149760,-23863433.30355111
136678144,-4701634.301816588
-2233344,3765160.1365122586
