raw_data,filtered_data
1387520,35324635.22956482
35936256,6448867.858507095
226915328,7986161.190567807
170666240,16646281.559111908
187570944,-17321530.285995368
135926272,-5643504.736821046
232270080,20692845.33239851
152119040,8807729.71539318
-20268544,-7754805.724457968
-190029312,-20797703.49214785
181104640,21175731.36673972
97699584,-15174277.42285582
-15412992,-20957137.065872535
-37226752,-17183695.666790526
55186176,18383665.051506903
274783232,26337324.602635697
51948032,11037841.566634348
-106218240,-8377345.925709182
-181459200,11593455.009827716
-121584384,-5143762.633970329
60710656,5062706.949890511
-176778240,7172766.579713707
-62059520,-15121353.662796529
21781248,-1295788.6368504388
291411200,6483777.728221705
-175254272,6663014.684493999
125354752,-29198701.863916215
235011328,2356389.246323276
-237686016,-16387207.441080872
-85947136,9190185.718334995
-99698944,-9801435.53316881
48746496,-2865505.927683064
-264626176,9661881.192504836
177489408,18432889.559835397
33347840,-9783923.09518484
94809344,-682388.6696594985
-101084928,-17188915.64457446
-166215680,-15132745.01723153
161121536,135090.10005537362
-215228928,36459156.181738846
276722176,1715162.1422924448
16347392,11329745.883963162
-35495680,-12233466.5371633
-16295936,-28424525.001995947
141534208,12213556.97206147
168240128,-9947075.453320703
-66026240,15241393.46148653
-49196800,-11570463.066768061
287807232,61967744.82182477
-99929600,27731867.042878848
-9276672,7650454.236738692
-203333632,-13942523.440581854
-100619520,-11246672.196273997
12843776,17069405.132455308
-17718016,-355542.17950216983
-142116608,-272031.15667052334
-132100096,-256033.38425890054
-281762816,-12386497.471984535
190269440,30135283.70722264
14595840,-10930839.952612491
-152881408,-4864954.429731665
113585152,-5864920.074328655
137913856,-10517632.271083321
-6490112,-5560092.889438
22091520,12497310.919292072
-47627264,-2041110.4761973696
-168183808,-13724734.14347433
41128704,-570612.1593420361
168284160,-4315150.804853857
-61086464,16398228.86892642
-203938048,-16790530.721025147
3197696,-33333544.03402635
106081536,6663243.859618785
185116160,29712466.24696954
-17191936,-6327610.63072781
-762368,-1599461.3276581836
-177110016,4156008.6120189945
-119570688,17074652.244197365
-236621568,6060716.868441692
-20091648,25690780.971322447
-78446848,-27658163.63120498
177172992,-2383440.6878728145
-333540608,-12963966.703035047
90896128,17556104.111501027
